;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
186;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;14;23;1;3;47;138;0;2;2;4;7;0;13;2;1;0,0;32;8;0;0;0;0;3,0;76,71;9;0,0;0,0;83;0;49;13;23;47;0;0;8;0;2,75;1,1;2,75;0,0;0,0;0,0;1,375;4;4;4;5;1,7;0;0;0,0;3,075;1;1,375;4,25;180 days 23:59:59.000000000
390;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;21;6;1;10;46;135;0;0;4;0;5;25;20;3;0;12,0;37;4;0;0;0;0;5,0;72,3;37;12,0;12,0;135;0;88;17;41;73;4;1;4;0;2,75;0,0;2,75;1,1;0,0;1,1;1,925;4;4;3;4;1,5;0;0;0,0;3,425;1;1,925;3,75;180 days 23:59:59.000000000
1018;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;19;3;0;0;0;57;0;0;1;2;0;2;0;0;0;0,0;77;4;0;0;0;0;3,0;36,86;84;0,0;0,0;87;0;26;9;29;48;1;0;4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;4;0;0;0,9;0;0;0,0;0,9;1;0,0;2,25;180 days 23:59:59.000000000
1022;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;39;9;1;2;38;126;0;0;0;4;4;0;13;2;1;0,0;88;7;0;0;0;0;3,0;76,94;55;0,0;0,0;101;0;51;25;11;65;0;0;7;0;1,1;0,0;1,1;0,55;0,0;0,55;0,825;5;4;5;4;1,8;0;0;0,0;2,625;1;0,8250000000000001;4,5;180 days 23:59:59.000000000
1787;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;36;17;0;3;4;48;0;0;0;1;0;14;0;0;0;0,0;19;1;0;0;0;0;1,0;55,56;6;0,0;0,0;33;0;23;3;7;20;3;0;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;5;0;0;0,5;0;0;0,0;0,5;1;0,0;1,25;180 days 23:59:59.000000000
5610;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;40;8;2;5;62;142;0;1;1;8;4;6;6;1;1;18,0;287;11;0;0;0;0;23,0;64,98;164;18,0;18,0;600;0;119;296;273;25;6;1;11;0;1,65;0,0;1,65;0,55;0,0;0,55;1,1;4;4;5;5;1,8;0;0;0,0;2,9;1;1,1;4,5;180 days 23:59:59.000000000
6705;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;29;3;3;2;12;73;0;0;0;2;3;2;0;0;0;0,0;30;3;0;0;0;0;4,0;34,2;46;0,0;0,0;107;0;61;38;30;33;6;0;3;0;2,2;0,0;2,2;0,0;0,0;0,0;1,1;4;5;0;0;0,9;0;0;0,0;2,0;1;1,1;2,25;180 days 23:59:59.000000000
8198;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;37;5;4;1;51;139;0;1;6;2;4;38;14;2;1;11,0;88;8;0;0;0;0;3,0;74,56;30;11,0;11,0;99;0;59;46;47;6;0;1;8;0;0,55;0,0;0,55;1,1;0,0;1,1;0,825;4;4;4;4;1,6;0;0;0,0;2,425;1;0,8250000000000001;4,0;180 days 23:59:59.000000000
10080;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;28;7;2;0;26;117;0;1;1;5;2;0;16;2;0;12,0;85;7;0;0;0;0;6,0;70,55;99;12,0;12,0;169;0;67;39;108;22;0;1;7;0;2,2;0,0;2,2;2,75;0,0;2,75;2,475;5;3;5;5;1,8;0;0;0,0;4,275;0;2,475;4,5;180 days 23:59:59.000000000
10909;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;15;62;0;0;20;123;0;1;2;4;6;0;13;2;1;0,0;71;7;1;0;0;0;8,0;73,0;70;0,0;0,0;228;0;69;73;60;93;2;0;7;0;2,2;0,0;2,2;0,55;0,0;0,55;1,375;4;4;3;4;1,5;0;0;0,0;2,875;1;1,375;3,75;180 days 23:59:59.000000000
13905;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;20;45;0;1;24;115;0;0;0;5;3;0;10;1;1;0,0;49;7;0;0;0;0;4,0;66,21;22;0,0;0,0;108;0;69;17;44;40;7;0;7;0;1,1;0,0;1,1;1,1;0,0;1,1;1,1;5;5;4;5;1,9;0;0;0,0;3,0;1;1,1;4,75;180 days 23:59:59.000000000
14863;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;18;6;0;0;0;95;0;0;1;5;0;8;15;2;1;11,0;40;9;0;0;0;0;4,0;68,84;85;11,0;11,0;119;0;68;26;50;43;0;1;9;0;1,1;0,0;1,1;0,55;0,0;0,55;0,825;3;5;5;5;1,8;0;0;0,0;2,625;1;0,8250000000000001;4,5;180 days 23:59:59.000000000
15754;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;26;24;0;10;14;103;0;0;0;0;1;0;0;0;0;0,0;6;0;0;0;0;0;1,0;0,0;18;0,0;0,0;44;0;32;5;11;28;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;180 days 23:59:59.000000000
16684;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;180 days 23:59:59.000000000
16804;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;9;6;6;2;22;103;0;0;1;4;2;32;15;2;1;11,0;44;6;1;0;0;0;3,0;77,09;55;11,0;11,0;99;0;55;19;24;56;0;1;6;0;1,65;0,0;1,65;1,1;0,0;1,1;1,375;5;4;4;4;1,7;0;0;0,0;3,075;1;1,375;4,25;180 days 23:59:59.000000000
17802;Biologia;2011.1;1;Citologia;14;2010-12-31 21:00:00;2011-06-30 20:59:59;25;7;0;0;2;104;0;0;0;1;1;2;0;0;0;0,0;29;4;0;0;0;0;2,0;85,4;31;0,0;0,0;71;0;29;12;8;51;0;0;4;0;1,65;0,0;1,65;1,1;0,0;1,1;1,375;3;3;3;4;1,3;0;0;0,0;2,675;1;1,375;3,25;180 days 23:59:59.000000000
